1,1,274.75,212.09,36.10,77.28,0.93,1,-1,-1
1,2,56.31,226.89,26.99,60.94,0.93,1,-1,-1
1,3,369.83,218.72,35.59,66.38,0.91,1,-1,-1
1,4,583.05,211.74,14.58,49.36,0.85,1,-1,-1
1,5,352.54,213.45,36.27,62.64,0.85,1,-1,-1
1,6,411.53,216.85,18.31,60.09,0.84,1,-1,-1
1,7,524.41,212.60,22.37,53.45,0.73,1,-1,-1
2,1,287.15,212.43,24.50,75.91,0.85,1,-1,-1
2,2,68.42,226.38,15.62,61.62,0.88,1,-1,-1
2,3,371.52,218.04,34.58,66.21,0.91,1,-1,-1
2,4,579.01,212.77,18.93,48.85,0.90,1,-1,-1
2,5,361.31,212.77,33.99,61.79,0.79,1,-1,-1
2,6,411.59,217.70,29.37,59.40,0.90,1,-1,-1
2,7,519.10,212.60,31.98,63.82,0.61,1,-1,-1
2,8,551.53,211.06,28.47,58.04,0.90,1,-1,-1
2,9,533.56,205.79,20.68,69.79,0.72,1,-1,-1
3,1,292.38,213.45,26.25,74.38,0.73,1,-1,-1
3,2,73.07,225.36,17.16,61.79,0.88,1,-1,-1
3,3,378.23,216.00,29.65,67.74,0.89,1,-1,-1
3,4,577.32,213.96,20.28,48.00,0.88,1,-1,-1
3,5,367.59,211.92,29.23,62.64,0.80,1,-1,-1
3,6,413.90,218.04,29.49,58.89,0.92,1,-1,-1
3,7,517.07,212.94,18.42,53.63,0.72,1,-1,-1
3,8,554.57,211.40,28.14,58.55,0.91,1,-1,-1
3,9,530.18,205.96,22.35,70.30,0.88,1,-1,-1
4,1,297.54,213.96,33.55,74.55,0.89,1,-1,-1
4,2,74.67,225.70,30.33,61.62,0.92,1,-1,-1
4,3,386.69,217.53,23.90,66.38,0.88,1,-1,-1
4,4,578.22,215.15,18.48,46.98,0.76,1,-1,-1
4,5,373.20,210.38,29.86,65.53,0.85,1,-1,-1
4,6,422.25,217.36,22.28,58.38,0.87,1,-1,-1
4,7,514.37,211.92,16.00,55.14,0.73,1,-1,-1
4,8,562.58,211.91,23.99,56.17,0.80,1,-1,-1
4,9,522.80,207.66,28.64,69.45,0.89,1,-1,-1
5,1,298.88,214.30,38.52,74.21,0.89,1,-1,-1
5,2,76.62,227.06,34.04,60.94,0.95,1,-1,-1
5,3,392.23,218.55,24.34,64.34,0.84,1,-1,-1
5,5,376.96,211.23,30.15,64.51,0.88,1,-1,-1
5,6,431.71,216.17,17.60,58.89,0.83,1,-1,-1
5,7,506.95,211.57,16.96,55.15,0.58,1,-1,-1
5,8,567.13,210.38,24.71,56.85,0.82,1,-1,-1
5,9,521.00,207.15,28.17,71.66,0.89,1,-1,-1
6,1,310.07,211.75,30.19,76.43,0.90,1,-1,-1
